url,title,year,sector
https://www.bbc.co.uk/news/uk-england-cornwall-15498708,Illegal workers held in immigration raids in Cornwall,2011,not mentioned
https://www.bbc.co.uk/news/uk-england-hereford-worcester-14544448,'Illegal workers' caught in Droitwich after raid,2011,restaurant
https://www.bbc.co.uk/news/articles/cpv4k837xg8o,British workers 'undercut by illegal immigrants',2025,"security, shop"
https://www.bbc.co.uk/news/articles/cj615p5y5kko,Minister to meet food delivery firms over reports of illegal workers,2025,"delivery, hotel, security"
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-21027590,"Aberdeen restaurants fined almost Â£40,000 for illegal workers",2013,not mentioned
https://www.bbc.co.uk/news/articles/cy9xzdnw924o,Arrests as immigration raids target workers,2025,"construction, delivery, security"
https://www.bbc.co.uk/news/av/world-asia-27832651,Illegal Cambodian migrant workers flee Thailand,2014,not mentioned
https://www.bbc.co.uk/news/articles/cwyez0y6kvlo,"Illegal working in UK was unbearable, migrant says",2025,"construction, farm, hotel"
https://www.bbc.co.uk/news/uk-england-essex-11444531,Illegal workers found at brothels in Colchester,2010,not mentioned
https://www.bbc.co.uk/news/uk-wales-45100120,'Desperate' asylum seekers work illegally while appealing,2018,not mentioned
https://www.bbc.co.uk/news/articles/c99vyvn28gxo,Hunt master and assistant guilty of illegal fox chase,2024,not mentioned
https://www.bbc.co.uk/news/uk-england-beds-bucks-herts-11384024,Illegal worker taught at schools in Bedfordshire,2010,not mentioned
https://www.bbc.co.uk/news/uk-wales-north-east-wales-36343911,Illegal immigrant caught working at Wrexham prison,2016,hotel
https://www.bbc.co.uk/news/uk-england-36025339,Care owners sentenced over migrants working illegally,2016,not mentioned
https://www.bbc.co.uk/news/articles/cj6xe89z92po,Restaurant licence hearing over illegal workers,2025,restaurant
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-19900611,Four Aberdeenshire restaurants fined for illegal workers,2012,not mentioned
https://www.bbc.co.uk/news/articles/cx2jnldejrko,Takeaway loses late licence after Illegal workers found,2025,restaurant
https://www.bbc.co.uk/news/world-asia-china-17850410,China morning round-up: Illegal workers,2012,security
https://www.bbc.co.uk/news/uk-england-essex-11398670,Illegal workers found at car wash in Colchester,2010,not mentioned
https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-23409115,Eight illegal workers arrested at Livingston restaurant,2013,restaurant
https://www.bbc.co.uk/news/uk-northern-ireland-23002282,Illegal workers arrested at Belfast takeaway,2013,not mentioned
https://www.bbc.co.uk/news/10243276,Illegal workers found in Nottingham nail bar,2010,not mentioned
https://www.bbc.co.uk/news/articles/cq6y276p743o,Illegal workers told 'you will be arrested',2025,"factory, restaurant, shop"
https://www.bbc.co.uk/news/articles/cql2de3l61lo,Popular food spots hiding a world of exploitation,2025,"construction, courier, delivery, restaurant, security"
https://www.bbc.co.uk/news/uk-england-berkshire-12070574,Arrests in Oracle shopping centre illegal workers raid,2010,not mentioned
